#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,00:00:00.000,ENTER,37.750,3000,0,113250,,0,6230017330349681605,,B,,,,266,
BHP,20130205,00:00:00.000,ENTER,37.750,574,0,21668.5,,0,6230017330349888939,,B,,,,150,
BHP,20130205,00:00:00.000,ENTER,37.750,1000,0,37750,,0,6230017330352826210,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.720,48,0,1810.56,,0,6230017330351412390,,B,,,,233,
BHP,20130205,00:00:00.000,ENTER,37.700,79,0,2978.3,,0,6230017330349453810,,B,,,,122,
BHP,20130205,00:00:00.000,ENTER,37.700,100,0,3770,,0,6230017330349454582,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.700,130,0,4901,,0,6230017330349454993,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.700,605,0,22808.5,,0,6230017330349470810,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.700,262,0,9877.4,,0,6230017330349485194,,B,,,,638,
BHP,20130205,00:00:00.000,ENTER,37.700,85,0,3204.5,,0,6230017330349485975,,B,,,,638,
BHP,20130205,00:00:00.000,ENTER,37.700,3000,0,113100,,0,6230017330349682453,,B,,,,266,
BHP,20130205,00:00:00.000,ENTER,37.700,250,0,9425,,0,6230017330352252762,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.700,525,0,19792.5,,0,6230017330352265111,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.700,400,0,15080,,0,6230017330352695104,,B,,,,266,
BHP,20130205,00:00:00.000,ENTER,37.650,135,0,5082.75,,0,6230017330349454675,,B,,,,140,
BHP,20130205,000:00:00.000,ENTER,37.620,260,0,9781.2,,0,6230017330351104071,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.610,3108,0,116891.88,,0,6228841677541673462,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.610,150,0,5641.5,,0,6230017330349455317,,B,,,,140,
BHP,20130205,00:00:00.000,ENTER,37.600,270,0,10152,,0,6228841677541452125,,B,,,,122,
BHP,20130205,00:00:00.000,LEMON,37.600,3000,0,112800,,0,6228841677542298799,,B,,,,266,
BHP,20130205,00:00:00.000,ENTER,37.600,56,0,2105.6,,0,6230017330349455286,,B,,,,140,
HP,20130205,18:50:00.162,DELETE,,,,,,0,,6230424149654138079,A,,,,,210
